METIER_IEO;DURACION_MIN;DURACION_MAX;VELOCIDAD_MIN;VELOCIDAD_MAX;PROFUNDIDAD_MIN;PROFUNDIDAD_MAX;SOLAPADO_LANCES
PTB11;180;600;1.2;3;100;600;FALSE
PTB12;180;600;1.2;3;100;600;FALSE
PTB13;60;180;3;4.5;100;600;FALSE
OTB11;120;270;2.5;3.5;100;700;FALSE
OTB12;120;240;3.5;4.5;100;300;FALSE
OTB13;120;240;3.5;4.5;100;300;FALSE
GNS12;5400;9600;;;100;600;TRUE
GNS11;180;1380;;;100;600;TRUE
BET10;120;240;;;100;600;TRUE
OTB51;120;240;3;3.5;100;600;FALSE
OTB20;60;360;2;4;10;800;FALSE
PSX21;10;45;;;10;200;FALSE
PSX22;10;45;;;10;200;FALSE
PSX23;10;45;;;10;200;FALSE
PSX24;10;45;;;10;200;FALSE
PSX2X;10;45;;;10;200;FALSE
PSX2X;10;45;;;10;200;FALSE
PSX2X;10;45;;;10;200;FALSE